바카,90,185
아하,41,181
사하,88,168
파마,87,171
바카,66,167
바가,42,143
타나,94,156
다하,90,163
가파,66,169
나카,62,175
카아,66,186
바바,66,149
바타,68,158
하자,81,187
자나,48,177
다라,57,192
사사,52,178
나라,45,176
파나,87,194
아하,65,187
아타,44,189
라마,89,170
라가,86,142
다바,51,182
라파,57,180
다가,41,175
바차,82,195
라차,75,148
카파,80,189
다마,90,177
사자,54,181
나나,90,185
자사,63,157
차라,74,155
다바,42,170
자다,61,145
바카,72,199
가카,96,192
타마,50,187
아나,61,179
바나,49,157
라다,91,178
나다,94,182
나가,89,156
바카,85,151
가파,49,163
타라,72,142
마다,78,195
파타,87,152
라바,93,190
파가,53,142
카타,48,176
파카,86,145
타가,61,158
라차,43,185
가가,86,191
가아,84,199
파차,87,196
아하,90,167
파바,52,166
하파,96,179
다타,97,155
카카,67,192
카나,52,155
하자,76,149
카사,49,185
다하,89,151
사카,93,194
차라,51,175
라가,43,157
카라,88,197
타카,59,190
타가,95,150
다아,56,167
나마,53,158
차마,47,148
하가,78,177
마자,98,184
타하,80,175
가라,45,191
나파,85,156
라다,72,183
가차,59,181
가파,75,155
사자,49,168
아라,61,184
아하,46,148
가다,89,159
아바,56,149
나나,63,145
사파,65,150
차나,80,181
나라,69,198
자라,91,196
라파,85,142
타나,87,172
다카,75,175
가파,46,162
카카,40,144
차하,48,192
하카,42,199
아라,52,147
자가,51,189
사다,83,147
마마,96,188
타사,82,163
라가,81,190
카바,71,179
카바,92,195
자가,66,172
나타,82,177
카나,81,171
가나,54,177
아타,85,168
차타,79,195
라다,56,181
다바,51,173
하가,69,158
바사,51,189
카하,95,162
다마,59,168
하차,48,145
사차,72,166
하사,47,185
하차,62,185
하사,76,165
차파,56,160
하마,42,157
바차,92,178
마아,53,194
카카,60,193
다바,54,148
자하,40,140
라파,90,164
카사,43,168
라바,98,191
바나,62,168
하다,87,144
자차,47,152
가다,46,153
파라,96,177
가타,66,188
가가,53,187
마하,47,195
아가,91,152
파가,92,170
하라,84,156
차하,50,184
자라,50,163
자가,40,156
카다,95,181
타자,85,166
라카,75,164
아가,94,142
마파,64,163
하마,83,156
마라,64,163
마가,94,194
나아,40,193
카자,50,193
사나,70,141
마하,65,164
파타,57,146
나다,51,188
자차,82,167
바가,98,192
가마,97,166
파아,68,187
나라,51,167
가카,90,194
다마,56,171
나하,94,162
라사,82,154
자아,40,189
라타,65,161
가다,75,141
타차,44,142
아타,76,175
나다,57,181
아자,99,158
마하,90,144
마가,76,177
자아,82,192
나카,50,153
마차,49,151
바파,47,145
아나,74,187
다자,40,161
카가,68,185
나다,85,179
자바,53,159
아하,41,170
마라,74,177
라라,74,198
가아,56,194
파자,54,156
아하,66,174
사나,84,181
타차,88,172
아가,56,169
자아,44,194
자차,40,195
차아,52,157
가자,57,195
마가,97,182
타바,64,170
차사,96,179
바카,76,196
타나,96,194
아다,77,160
다파,40,164
카차,49,197
차다,94,170
바가,89,190
아자,77,165
파하,41,145
바마,46,182
자파,70,194
바타,68,196
자라,45,154
가마,91,142
바카,53,195
라나,85,150
사마,92,185
다마,94,140
사하,94,160
아차,41,159
다사,89,167
타사,59,186
라자,67,186
아다,70,148
바다,95,190
사아,42,196
다라,94,155
사파,70,199
하카,41,148
카아,77,169
마나,93,190
자차,80,143
카아,88,162
라자,90,159
바마,53,185
나가,77,177
자라,77,184
차아,64,161
자자,70,191
바타,53,147
다라,91,160
바나,54,198
라타,88,147
마하,56,162
타나,65,165
다파,93,172
나다,62,159
사다,65,148
파아,74,156
마파,48,140
라자,72,199
카자,47,165
가마,98,176
자바,59,194
하라,46,184
아자,45,167
자파,80,180
차하,40,186
마가,54,149
차마,51,166
자라,71,172
라마,68,182
차라,72,140
나나,42,152
바나,76,153
바사,54,161
가나,63,165
파나,82,151
파카,75,183
하아,99,157
파아,55,188
가자,73,172
사타,57,163
카차,49,146
파마,94,175
파차,74,172
라차,50,187
다파,66,189
바카,98,187
아가,76,163
파하,87,162
카라,94,178
하마,43,176
자하,60,192
카아,69,173
나타,55,148
타사,87,169
가파,87,149
사하,72,176
파라,44,168
라하,59,161
사마,96,196
타타,45,141
마타,92,177
타하,62,163
카사,79,183
사가,81,197
자하,48,140
타카,80,176
다타,95,193
타마,73,148
카다,87,199
바하,76,187
카타,57,169
사바,48,184
바가,95,185
사하,58,142
자다,51,174
다바,51,175
다자,50,186
마아,63,164
사자,62,144
다아,51,184
차자,44,165
타다,61,184
사자,58,190
차바,93,195
다가,64,143
다차,83,165
아나,81,148
하타,64,167
타바,54,176
아차,96,166
카아,90,153
다아,80,179
하타,95,172
라나,65,160
마다,98,156
다파,40,195
나다,77,162
나타,45,151
마나,95,141
카자,42,170
라타,53,170
아마,98,180
가라,64,184
아마,59,188
사아,67,180
나자,62,175
사차,85,172
아카,42,152
타아,46,142
카아,62,168
마차,73,185
타파,95,186
나아,53,193
사자,96,185
바다,89,177
자카,72,196
사차,61,168
카마,82,181
차마,43,179
하바,80,186
사바,62,165
가사,93,186
타타,68,159
라가,90,154
카라,89,160
마나,97,191
파라,95,178
나사,62,195
자나,51,187
타바,70,191
자아,50,170
아나,54,160
차다,74,162
차가,66,140
하바,80,144
하타,92,163
아자,71,194
자라,52,158
아자,45,190
아아,67,155
사마,68,173
다카,95,160
파카,44,185
나파,92,156
사가,62,199
사아,90,186
하아,59,157
타차,75,183
사바,89,159
파마,71,178
나아,93,196
타타,77,168
하파,56,166
다타,62,148
가바,78,173
차아,90,146
차다,43,159
자자,94,172
카타,73,190
차자,51,197
마다,49,195
차타,46,197
타나,78,178
다다,57,157
마타,83,160
차파,40,151
다자,99,187
파자,46,168
가타,96,199
자아,88,193
사마,65,189
하자,96,180
라카,43,155
타사,75,181
차마,60,143
나파,57,168
카아,56,153
다라,66,160
파라,67,147
나마,94,168
다자,78,169
타타,99,166
카하,94,161
바파,75,151
자아,61,156
가하,75,174
아아,57,186
가라,58,159
가다,42,146
다타,96,158
바바,74,147
가타,69,186
마차,57,176
아나,46,153
차마,49,142
라파,55,180
카라,68,149
아라,65,188
카차,93,179
바사,89,147
다바,96,168
타카,71,152
나나,79,182
자카,95,198
다사,81,153
가아,57,151
아차,86,199
자마,41,168
카차,51,166
사가,44,140
마다,87,184
자파,64,175
카자,55,191
가하,87,158
